"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.88680207374335e-07,0.489839100951299,0.25,0.098,0.00265378711672003,"17","RAB9A2"
1.89645383763729e-07,1.27291010562354,0.105,0.027,0.00266736232263685,"17","SMUG1"
1.92370497742263e-07,0.954990590823892,0.137,0.041,0.00270569105074493,"17","GTF2H5"
1.93277543851107e-07,0.681801147885401,0.218,0.081,0.00271844865426582,"17","C19orf24"
1.94033201126951e-07,0.786836183553074,0.202,0.073,0.00272907697385056,"17","EXOSC3"
1.94972768071473e-07,0.843976805406535,0.161,0.052,0.00274229198292527,"17","VRK3"
1.96126105008792e-07,0.442966161233412,0.524,0.267,0.00275851366694866,"17","UBE2I1"
1.9640997535597e-07,0.394838597098259,0.863,0.51,0.00276250630338171,"17","ATP6V1G12"
1.96826470254606e-07,0.554153239885774,0.161,0.052,0.00276836430413103,"17","MRPL39"
1.98540902316584e-07,0.821279591756784,0.298,0.13,0.00279247779108276,"17","RALY"
1.98678504834863e-07,0.448265838991827,0.524,0.266,0.00279441317050235,"17","UBE2L3"
2.06416195824661e-07,0.5735095776403,0.177,0.06,0.00290324379427386,"17","RDH11"
2.14169881110569e-07,0.879755171200018,0.113,0.03,0.00301229937782015,"17","LTV1"
2.14995992625953e-07,1.00499456361222,0.129,0.038,0.00302391863628403,"17","MUM1"
2.15375618526927e-07,0.524294386713495,0.258,0.102,0.00302925807458122,"17","RBBP72"
2.17797906850294e-07,1.26329851932747,0.145,0.046,0.00306332755984938,"17","DHRSX1"
2.19578872457981e-07,0.414294511076171,0.605,0.319,0.0030883768411215,"17","UBL52"
2.20976812636456e-07,0.37651246004346,0.387,0.177,0.00310803886973175,"17","SCAF111"
2.21230185686263e-07,0.546692593012063,0.653,0.354,0.00311160256167729,"17","GUK1"
2.2157228418104e-07,0.44325326227563,0.282,0.116,0.00311641417700632,"17","RTF1"
2.22336781123076e-07,0.394270957388795,0.468,0.227,0.00312716682649606,"17","BLOC1S12"
2.22534887434038e-07,0.741170842674953,0.766,0.529,0.00312995319175974,"17","S100A62"
2.25577523343772e-07,0.427812342140013,0.29,0.119,0.00317274786583016,"17","MRPS71"
2.26150270938947e-07,0.470791285437207,0.306,0.13,0.0031808035607563,"17","STUB1"
2.31519854950392e-07,1.07037066575983,0.218,0.083,0.00325632675987727,"17","FAM118A2"
2.33018862532939e-07,0.627130247071726,0.234,0.09,0.00327741030152578,"17","PLEKHJ1"
2.34353978113435e-07,0.89482861234596,0.129,0.037,0.00329618870216546,"17","ARL1"
2.37592438986447e-07,0.365242335064707,0.226,0.084,0.00334173765434438,"17","NCBP21"
2.45761486534821e-07,0.617836642273421,0.847,0.605,0.00345663530811226,"17","HSPA81"
2.51286460905628e-07,0.736131310681861,0.145,0.045,0.00353434407263766,"17","ALG3"
2.52613063879418e-07,1.65104260522306,0.105,0.028,0.00355300274346402,"17","ATP6V1A"
2.54652804722729e-07,0.377195097956332,0.29,0.12,0.00358169169842519,"17","NBDY1"
2.54733289269801e-07,0.77959953821974,0.153,0.049,0.00358282371357975,"17","OLA1"
2.63725948797049e-07,1.05717073018195,0.129,0.038,0.00370930546983049,"17","E2F4"
2.75178180212691e-07,0.757340709628433,0.202,0.074,0.00387038110469149,"17","DAPP11"
2.77499064420589e-07,0.478828427605007,0.798,0.504,0.00390302434107559,"17","SAP181"
2.78794300134388e-07,0.80664649728552,0.161,0.053,0.00392124183139016,"17","RPP30"
2.87637381600742e-07,0.652858600291729,0.137,0.041,0.00404561977221444,"17","MRPL12"
3.0100458467649e-07,0.341968403246963,0.524,0.261,0.00423362948347483,"17","FAM49B2"
3.04095963487404e-07,0.933621385308721,0.153,0.05,0.00427710972645034,"17","NUBP1"
3.05072064463472e-07,0.5711264914593,0.177,0.061,0.00429083858667874,"17","CPNE3"
3.06356450910421e-07,1.38573759124709,0.113,0.031,0.00430890348205507,"17","MRM2"
3.20878925007334e-07,0.280500787526602,0.331,0.141,0.00451316208022815,"17","IMP32"
3.21904147699029e-07,0.489932473286867,0.258,0.104,0.00452758183738684,"17","U2SURP1"
3.21926688633977e-07,0.584789165184367,0.25,0.1,0.00452789887563689,"17","PNPT1"
3.2267240544703e-07,1.45830608762022,0.121,0.035,0.00453838738261248,"17","USO1"
3.477347866604e-07,0.734970618334641,0.258,0.106,0.00489088977437852,"17","ASNA1"
3.50446135477099e-07,0.480370790508267,0.613,0.337,0.00492902489548539,"17","IFI16"
3.52953735152832e-07,0.605937153327756,0.226,0.087,0.00496429428492458,"17","ZNF241"
3.62474980672566e-07,1.0936190500485,0.202,0.076,0.00509821060315963,"17","EHD41"
3.62564728828141e-07,0.913586194823265,0.202,0.075,0.00509947291096781,"17","CFDP1"
3.72269752690543e-07,1.13173612482767,0.153,0.051,0.00523597407159249,"17","XPO1"
3.75514468831585e-07,0.669438731062053,0.315,0.138,0.00528161100411625,"17","PA2G41"
3.80914213505032e-07,0.557671068681749,0.395,0.191,0.00535755841294827,"17","PPM1K"
3.83489433695285e-07,0.905534177950165,0.185,0.066,0.00539377888492418,"17","SRPRA"
3.84847114290236e-07,0.962506451516787,0.145,0.046,0.00541287466249217,"17","CSNK2A1"
3.85489687266035e-07,0.503705074674716,0.323,0.143,0.00542191245139678,"17","PRRC2C1"
3.90852638136978e-07,0.509757947046803,0.597,0.328,0.00549734235539659,"17","GHITM1"
3.90870233298074e-07,0.317217699732412,0.347,0.152,0.00549758983133741,"17","LSM7"
4.00268269848987e-07,0.945746797736451,0.129,0.038,0.005629773215426,"17","NFU1"
4.01128161724169e-07,0.608437258506076,0.323,0.14,0.00564186759465044,"17","NCL1"
4.19343422382285e-07,0.786183048751755,0.121,0.035,0.00589806523580684,"17","RUVBL1"
4.22555173034687e-07,0.795439832830613,0.169,0.058,0.00594323850873287,"17","ZPR11"
4.23784359053293e-07,0.365965878216339,0.411,0.193,0.00596052701008456,"17","PSMD71"
4.25791615089404e-07,0.685693100067176,0.242,0.097,0.00598875906623247,"17","SUCLG12"
4.39462755573871e-07,0.750683155628342,0.177,0.062,0.00618104365714649,"17","IFNAR1"
4.39594421256736e-07,1.37772442982947,0.113,0.032,0.00618289553497599,"17","TIMM50"
4.40961116354112e-07,0.979899607955572,0.105,0.028,0.00620211810152059,"17","MTERF3"
4.50793591177163e-07,0.383084957905907,0.379,0.175,0.00634041185990679,"17","SNRPB21"
4.80889203408943e-07,0.612874393080732,0.177,0.062,0.00676370664594679,"17","OTUD6B-AS11"
4.8299276434721e-07,0.615624077269857,0.347,0.161,0.0067932932305435,"17","SPPL2A2"
4.86593500838594e-07,0.918189975818575,0.234,0.095,0.00684393758929483,"17","UNC50"
4.97661903805705e-07,0.831979941924985,0.137,0.042,0.00699961467702724,"17","TOMM40"
5.29717448611328e-07,0.423969995864103,0.492,0.25,0.00745047591471833,"17","CLTA2"
5.31638408837075e-07,0.358959397193571,0.5,0.254,0.00747749422029346,"17","SUPT4H11"
5.33806065498801e-07,1.10208921931407,0.145,0.047,0.00750798231124064,"17","SLC39A1"
5.39413470148837e-07,0.536839721287137,0.282,0.12,0.00758685045764339,"17","MESD"
5.70524908534879e-07,0.688980415803908,0.25,0.104,0.00802443283854307,"17","TIPRL"
5.78555601629835e-07,0.636817375401319,0.21,0.079,0.00813738453692363,"17","POLR2I1"
5.94245762404998e-07,0.590282117399224,0.25,0.103,0.0083580666482263,"17","OTUB1"
5.96745472703598e-07,0.428579597104343,0.581,0.313,0.0083932250735761,"17","ACTR31"
5.97288904781665e-07,0.569007075557365,0.347,0.161,0.00840086844575412,"17","EIF4E22"
6.04958548794637e-07,0.667259818755006,0.274,0.118,0.00850874198879657,"17","SRA11"
6.12054898748296e-07,0.323670389243853,0.46,0.223,0.00860855215089479,"17","SMDT11"
6.12480518271648e-07,0.856346777800023,0.169,0.059,0.00861453848949073,"17","EEF1E11"
6.1870638302643e-07,0.257632664309024,0.444,0.211,0.00870210527726674,"17","PNISR1"
6.21956886559672e-07,0.307840320525163,0.581,0.301,0.00874782360946179,"17","HNRNPA01"
6.3111928917696e-07,1.01542069620726,0.129,0.039,0.00887669280227394,"17","BRD4"
6.4245686183629e-07,0.692459547223618,0.113,0.032,0.00903615576172741,"17","MAGEH1"
6.4452432414137e-07,0.68229317777233,0.298,0.133,0.00906523461904837,"17","LYN2"
6.50754175534602e-07,0.476972297091867,0.29,0.125,0.00915285747889418,"17","RBM171"
6.6301252486752e-07,0.735896121570837,0.145,0.047,0.00932527116226167,"17","PCNA"
6.70411110408734e-07,0.498231662845269,0.79,0.508,0.00942933226789884,"17","CLIC12"
6.82873039565629e-07,0.396177311315191,0.468,0.233,0.00960460930149057,"17","NDUFA13"
6.90045051896788e-07,0.464262793583042,0.226,0.087,0.00970548365492833,"17","SCP2"
7.01540548797466e-07,0.846015437625274,0.169,0.059,0.00986716781883636,"17","PTPMT1"
7.07497901209744e-07,0.796299856550445,0.169,0.059,0.00995095798051504,"17","PLRG1"
7.20266656361762e-07,0.339562684888633,0.339,0.153,0.0101305505217282,"17","SRSF111"
7.21986072776609e-07,0.763345263588765,0.177,0.063,0.010154734113603,"17","PRPF6"
7.27887335917686e-07,1.21518937199341,0.137,0.044,0.0102377353796823,"17","BCAP29"
7.3349107132677e-07,1.02551257333316,0.105,0.029,0.010316551918211,"17","SPG7"
7.45178944529559e-07,0.589476590270268,0.29,0.127,0.0104809418548083,"17","NDUFS7"
7.59004414491007e-07,1.27418289547192,0.121,0.036,0.010675397089816,"17","PIGF"
7.6733000791308e-07,1.02356780686038,0.282,0.127,0.0107924965612975,"17","ZNHIT1"
7.68865267942709e-07,0.823806186870364,0.145,0.047,0.0108140899936142,"17","NDUFAF41"
7.76854342441072e-07,1.0308344335445,0.194,0.074,0.0109264563264337,"17","CDC731"
7.86133490693888e-07,0.535310187626951,0.565,0.312,0.0110569675466095,"17","NAP1L11"
7.8808919838609e-07,0.545602693989823,0.234,0.093,0.0110844745753004,"17","PRDX4"
7.92106129059938e-07,0.62058937880174,0.161,0.054,0.011140972705228,"17","MRPL24"
7.95316399328465e-07,0.78641948254414,0.169,0.059,0.0111861251565549,"17","NONO"
8.03365957428537e-07,0.999206197070795,0.153,0.052,0.0112993421912324,"17","ELOVL12"
8.15200890857249e-07,1.01186875242679,0.177,0.064,0.0114658005299072,"17","HDAC2"
8.15764068980928e-07,0.456939719848625,0.234,0.092,0.0114737216302168,"17","TUSC21"
8.22503807083935e-07,0.513827270696187,0.266,0.112,0.0115685160466355,"17","TSC22D4"
8.29497662081975e-07,0.296915659228237,0.613,0.368,0.011666884617183,"17","TNFSF101"
8.38152671987419e-07,1.15804920235535,0.105,0.029,0.011788617331503,"17","EXOC3"
8.40180607652292e-07,0.418874052174782,0.629,0.333,0.0118171402466295,"17","COX6B1"
8.48140794157026e-07,0.365391223669442,0.403,0.191,0.0119291002698186,"17","ATP5PB1"
8.52673510113021e-07,0.423315811560511,0.25,0.102,0.0119928529197396,"17","DDOST1"
8.62304511310986e-07,0.351921637723737,0.315,0.142,0.012128312951589,"17","ID21"
9.21433352192207e-07,0.688710303003067,0.177,0.064,0.0129599600985834,"17","COPS4"
9.28086008946218e-07,0.588128703387513,0.315,0.14,0.0130535297158286,"17","COX142"
9.32698030627887e-07,0.422647325553537,0.282,0.122,0.0131183978007812,"17","JPT11"
9.63951465520568e-07,0.897229600423684,0.177,0.065,0.0135579773625468,"17","ME2"
9.83173955612263e-07,1.17235071266617,0.145,0.048,0.0138283416856865,"17","RABGGTB"
9.92525004403529e-07,0.574747364477838,0.403,0.203,0.0139598641869356,"17","TMED21"
1.07968722632497e-06,0.405477714043786,0.476,0.244,0.0151858008382607,"17","HNRNPC1"
1.10413437624162e-06,0.636960413680632,0.121,0.036,0.0155296500018384,"17","MRPL58"
1.15214690473503e-06,0.82958149040653,0.161,0.056,0.0162049462150983,"17","TDG"
1.15833060411119e-06,0.559620580293648,0.218,0.086,0.0162919199468239,"17","DDX461"
1.16016179887249e-06,0.324430336292514,0.831,0.5,0.0163176757011415,"17","UBE2D31"
1.17315259147301e-06,0.47657123572632,0.347,0.162,0.0165003911990679,"17","NDUFA21"
1.21629695404754e-06,0.741702875099979,0.137,0.044,0.0171072166586786,"17","TIMM10B"
1.23383039652696e-06,0.591132519779634,0.145,0.047,0.0173538245271517,"17","CSTF2T"
1.24394223249444e-06,0.33844425376445,0.258,0.106,0.0174960475000343,"17","MRPS18B1"
1.24757283129466e-06,1.52955885724247,0.105,0.03,0.0175471118721594,"17","TGM11"
1.24764690282914e-06,0.984292681351727,0.145,0.049,0.0175481536882919,"17","DOCK10"
1.24793028502534e-06,0.623097700176238,0.226,0.091,0.0175521394588815,"17","PDAP1"
1.27035638906942e-06,0.286410136502521,0.25,0.101,0.0178675626122613,"17","PARP11"
1.27732383761545e-06,0.904991148470662,0.137,0.044,0.0179655597760613,"17","TRNT1"
1.31573914256982e-06,0.300842963152173,0.565,0.296,0.0185058710402446,"17","ANAPC161"
1.33149817413469e-06,0.959188431602476,0.113,0.033,0.0187275218192045,"17","HNRNPAB"
1.34521234921486e-06,0.838582736082288,0.218,0.088,0.018920411691707,"17","SNRNP35"
1.34835669648122e-06,0.49572927689134,0.169,0.06,0.0189646369360084,"17","PCMTD1"
1.35021743764632e-06,0.6496033638064,0.258,0.109,0.0189908082604954,"17","HP1BP3"
1.39545874020016e-06,0.358709903998644,0.347,0.16,0.0196271271809152,"17","NDUFB101"
1.47202096526606e-06,0.299554989086144,0.339,0.154,0.0207039748764672,"17","RAD23A"
1.52261534951671e-06,1.29466184011022,0.113,0.033,0.0214155848909525,"17","COASY"
1.55961734259697e-06,0.605942829989004,0.331,0.157,0.0219360179236263,"17","AP3S11"
1.56163685375401e-06,0.893255392116029,0.145,0.049,0.0219644223480501,"17","DHX9"
1.5754572251398e-06,0.893540335625627,0.129,0.04,0.0221588058715913,"17","TIMM9"
1.62051507704427e-06,0.431079388951652,0.589,0.329,0.0227925445586277,"17","PPP1CA1"
1.62509648599185e-06,0.706009581856787,0.194,0.074,0.0228569820754753,"17","DLD1"
