"rank","gene"
711,"DYNLL1"
712,"RPA3"
713,"CELF2"
714,"TUBB"
715,"IP6K2"
716,"RHBDD2"
717,"MRPS26"
718,"KLF3"
719,"ITGA4"
720,"DHRS7"
721,"ARHGAP15"
722,"OLR1"
723,"ENSA"
724,"NARF"
725,"MRPL17"
726,"HNRNPC"
727,"BIRC2"
728,"PPP1R2"
729,"PDCD2"
730,"ZC3H15"
731,"IER3IP1"
732,"CAMLG"
733,"ZC3HAV1"
734,"ALKBH7"
735,"MRPL49"
736,"JAML"
737,"CYTIP"
738,"MT2A"
739,"HMGN1"
740,"HSPA9"
741,"PA2G4"
742,"TSR2"
743,"PAPOLA"
744,"PPP2R2A"
745,"RBMX"
746,"LMAN1"
747,"ATP5MC1"
748,"ARID5A"
749,"SNRPD1"
750,"CWC25"
751,"HNRNPH3"
752,"OTULINL"
753,"MRPL57"
754,"MRPS30"
755,"FAM32A"
756,"MEAF6"
757,"SAR1A"
758,"DEGS1"
759,"TBCB"
760,"LSM14A"
761,"RNF125"
762,"SMC3"
763,"FAM204A"
764,"MAT2B"
765,"VPS37B"
766,"METTL26"
767,"LSM7"
768,"COA3"
769,"DUSP11"
770,"MRPL9"
771,"IL16"
772,"YTHDF2"
773,"TTC3"
774,"CD37"
775,"SEC61B"
776,"GIMAP2"
777,"DNAJC19"
778,"TTC14"
779,"NPM3"
780,"DNAJC9"
781,"PPP1CC"
782,"PWP1"
783,"TMEM14B"
784,"TCEA1"
785,"ARL4C"
786,"MANF"
787,"PPHLN1"
788,"NDUFA5"
789,"TMEM183A"
790,"SLC39A8"
791,"LSM4"
792,"POLR1D"
793,"RAD23B"
794,"GPN1"
795,"ISCA1"
796,"TMEM134"
797,"RPS12"
798,"DDRGK1"
799,"DENR"
800,"SRP72"
801,"TAF15"
802,"REXO2"
803,"RPAIN"
804,"N4BP2L1"
805,"SERTAD1"
806,"S100A12"
807,"RNF167"
808,"NDUFS3"
809,"RPL18A"
810,"CDK4"
811,"BIN1"
812,"DDX18"
813,"ANAPC16"
814,"PHAX"
815,"DNAJC1"
816,"LAT2"
817,"TERF2IP"
818,"CCND3"
819,"CEP57"
820,"LDLRAD4"
821,"PARK7"
822,"SLC25A5"
823,"TMEM160"
824,"CLIC1"
825,"ARL14EP"
826,"EMC2"
827,"IMP4"
828,"POLR2J3.1"
829,"BIN2"
830,"IER3"
831,"REX1BD"
832,"STOML2"
833,"MRPS16"
834,"RNPS1"
835,"TM2D3"
836,"CD86"
837,"METTL5"
838,"ECH1"
839,"IRF3"
840,"PCSK7"
841,"PTPRA"
842,"DNAJC2"
843,"CD59"
844,"ZNF800"
845,"SMIM14"
846,"NAXE"
847,"TUBA1A"
848,"EMC4"
849,"MRPS18B"
850,"RPL31"
851,"FCER1A"
852,"SET"
853,"SF3A3"
854,"TRMT10C"
855,"OXLD1"
856,"HNRNPA3"
857,"KPNA2"
858,"NOB1"
859,"RTRAF"
860,"MAPK1IP1L"
861,"PFDN1"
862,"CYLD"
863,"CFAP298"
864,"ANXA6"
865,"BLMH"
866,"EIF2S1"
867,"MTIF3"
868,"BTG2"
869,"BTG3"
870,"DENND2D"
871,"ZNF655"
872,"GNAS"
873,"NUDC"
874,"ATRAID"
875,"DCTPP1"
876,"EIF4E"
877,"MRPS33"
878,"ETFA"
879,"AK6"
880,"ATF1"
881,"NSFL1C"
882,"MRPS10"
883,"HP1BP3"
884,"RPS8"
885,"SLA"
886,"HMGN2"
887,"TEX264"
888,"PIM3"
889,"ACTG1"
890,"ARID4A"
891,"PCMTD1"
892,"PRDX6"
893,"PYCR2"
894,"SNX10"
895,"KLRG1"
896,"TUBA1B"
897,"DNAJB14"
898,"TOMM20"
899,"RPA2"
900,"TMEM43"
901,"PYURF"
902,"TOMM22"
903,"RPL22L1"
904,"SF1"
905,"INTS10"
906,"RPLP0"
907,"PDHA1"
908,"VAMP8"
909,"NUDCD2"
910,"NAP1L4"
911,"SNU13"
912,"RGS10"
913,"PSMB8-AS1"
914,"SIVA1"
915,"COA4"
916,"GLOD4"
917,"GPX4"
918,"WBP11"
919,"CFAP36"
920,"MED10"
921,"PEF1"
922,"WDR54"
923,"NDUFS8"
924,"ACP1"
925,"HSP90B1"
926,"RNF5"
927,"BPGM"
928,"PMPCB"
929,"ARHGAP45"
930,"CAND1"
931,"ANKRD12"
932,"EIF1AX"
933,"PITHD1"
934,"SLBP"
935,"COQ10B"
936,"SLTM"
937,"OTUD6B-AS1"
938,"YARS"
939,"AMZ2"
940,"OSBPL8"
941,"KLHDC3"
942,"TUSC2"
943,"ADD3"
944,"UBAC2"
945,"UGP2"
946,"FBL"
947,"IFRD2"
948,"SURF2"
949,"CNOT7"
950,"RPL5"
951,"DGUOK"
952,"EXOSC8"
953,"CALCOCO2"
954,"MRFAP1"
955,"VBP1"
956,"TIMM13"
957,"CCDC174"
958,"EIF3J"
959,"DDX27"
960,"NDUFAB1"
961,"THUMPD1"
962,"ATP1B3"
963,"MTPN"
964,"UCP2"
965,"IL6"
966,"IGBP1"
967,"ATP5IF1"
968,"PRDX4"
969,"CLNS1A"
970,"DAPP1"
971,"ITGAE"
972,"HNRNPR"
973,"KRT10"
974,"GTPBP4"
975,"METTL23"
976,"ORMDL1"
977,"SEPHS2"
978,"SPSB3"
979,"OGA"
980,"THRAP3"
981,"DHPS"
982,"DAP3"
983,"COTL1"
984,"CHMP1B"
985,"REST"
986,"SUCLG1"
987,"GTPBP8"
988,"PTGES3"
989,"HMOX2"
990,"RSBN1"
991,"NDUFB6"
992,"MORF4L2"
993,"CD320"
994,"BCL7B"
995,"STK4"
996,"MRPL39"
997,"PCID2"
998,"PSMD6"
999,"CCDC91"
1000,"PHYKPL"
1001,"NSA2"
1002,"SDF4"
1003,"XRCC5"
1004,"MRPL11"
1005,"U2SURP"
1006,"FKBP4"
1007,"RPSA"
1008,"IFRD1"
1009,"COPS8"
1010,"CNOT2"
1011,"TESPA1"
1012,"MED19"
1013,"MORC3"
1014,"HINT2"
1015,"SDHA"
1016,"MRPL3"
1017,"TUFM"
1018,"APRT"
1019,"LITAF"
1020,"CNBP"
1021,"CCDC90B"
1022,"UBE2G1"
1023,"CCDC107"
1024,"EVI2B"
1025,"AC026979.2"
1026,"WIPF1"
1027,"MED11"
1028,"HIF1A"
1029,"TMEM223"
1030,"SNRPF"
1031,"IAH1"
1032,"IL2RG"
1033,"RBM22"
1034,"THYN1"
1035,"BBX"
1036,"MLEC"
1037,"PPM1K"
1038,"SARS"
1039,"EIF3M"
1040,"HIST1H4C"
1041,"DHX36"
1042,"ETHE1"
1043,"MRPL55"
1044,"ABLIM1"
1045,"TRNT1"
1046,"MCTS1"
1047,"MPC2"
1048,"PRDX5"
1049,"USE1"
1050,"ABT1"
1051,"FUNDC2"
1052,"LSP1"
1053,"LUC7L2"
1054,"SRRM1"
1055,"TMEM173"
1056,"CFDP1"
1057,"IDH3B"
1058,"ALG13"
1059,"IFNGR2"
1060,"TOX4"
1061,"MIF4GD"
1062,"MZT2B"
1063,"TMEM70"
1064,"EPRS"
1065,"SRP54"
1066,"JMJD1C"
1067,"TUT4"
1068,"MRPL15"
1069,"PFDN2"
1070,"SF3B1"
1071,"IL4I1"
1072,"GGPS1"
1073,"SCFD1"
1074,"CDC37"
1075,"MRPS5"
1076,"MDH2"
1077,"SNAPC5"
1078,"PSMD14"
1079,"RPL9"
1080,"IDS"
1081,"EAPP"
1082,"GORASP2"
1083,"RAB14"
1084,"SON"
1085,"CYBA"
1086,"PIGX"
1087,"COA6"
1088,"PDIA6"
1089,"SMIM10L1"
1090,"TRMO"
1091,"MRPS12"
1092,"DUSP10"
1093,"PITPNB"
1094,"CD300E"
1095,"CNOT6L"
1096,"PPP1R14B"
1097,"ARHGDIB"
1098,"SKIL"
1099,"SURF1"
1100,"UBQLN2"
1101,"PILRA"
1102,"SCP2"
1103,"TLK1"
1104,"TCF7"
1105,"CCDC82"
1106,"SF3B5"
1107,"PIH1D1"
1108,"STUB1"
1109,"SCNM1"
1110,"NSD1"
1111,"AKAP13"
1112,"SLC3A2"
1113,"NAE1"
1114,"SAT2"
1115,"TMEM170A"
1116,"SUPT16H"
1117,"EPC1"
1118,"CMC2"
1119,"MRPL21"
1120,"LSM6"
1121,"FIP1L1"
1122,"PRPS1"
1123,"YWHAH"
1124,"DEF6"
1125,"SSRP1"
1126,"BABAM1"
1127,"FAM133B"
1128,"MDH1"
1129,"DARS"
1130,"NAA50"
1131,"NCOR1"
1132,"PRMT2"
1133,"TINF2"
1134,"C19orf24"
1135,"CD46"
1136,"PLP2"
1137,"TRAPPC6A"
1138,"ZNF24"
1139,"RTF1"
1140,"THOC2"
1141,"OXA1L"
1142,"MRPS15"
1143,"RALA"
1144,"RPL11"
1145,"MTF2"
1146,"PTX3"
1147,"RDH14"
1148,"ARL6IP5"
1149,"SERPINA1"
1150,"NDUFS5"
1151,"NIFK"
1152,"PCNA"
1153,"MSL3"
1154,"PHIP"
1155,"PRPF31"
1156,"LYST"
1157,"RASGRP2"
1158,"RPF1"
1159,"SNX17"
1160,"ADH5"
1161,"CDKN2D"
1162,"PQBP1"
1163,"SYNCRIP"
1164,"SDAD1"
1165,"DLGAP1-AS1"
1166,"MRPL32"
1167,"PNN"
1168,"NCBP2-AS2"
1169,"SGK1"
1170,"EIF4B"
1171,"DCTN3"
1172,"PNO1"
1173,"STAT4"
1174,"DTNBP1"
1175,"PLEKHB2"
1176,"RNF166"
1177,"LSM10"
1178,"MRPL50"
1179,"C19orf70"
1180,"FKBP3"
1181,"EEF1B2"
1182,"SH3BGRL3"
1183,"ARPP19"
1184,"CCT3"
1185,"STAG2"
1186,"TROVE2"
1187,"RDH11"
1188,"EIF2A"
1189,"NAP1L1"
1190,"NCK1"
1191,"TALDO1"
1192,"GLIPR1"
1193,"COPS4"
1194,"TXNDC15"
1195,"ZMAT2"
1196,"ATP5MC3"
1197,"SMIM25"
1198,"IRF9"
1199,"CHURC1"
1200,"NOC2L"
1201,"RNF115"
1202,"PHF5A"
1203,"RBBP4"
1204,"LSM5"
1205,"ILF2"
1206,"CWC15"
1207,"EID1"
1208,"GOPC"
1209,"SS18L2"
1210,"GBP3"
1211,"DGCR6L"
1212,"SAR1B"
1213,"SHISA5"
1214,"LAGE3"
1215,"MFAP1"
1216,"SSSCA1"
1217,"NDUFAF4"
1218,"ZRANB2"
1219,"CCM2"
1220,"BHLHE40"
1221,"COMMD1"
1222,"COPS3"
1223,"DNAJA2"
1224,"EIF4H"
1225,"TUBB4B"
1226,"ATP6V1F"
1227,"NAA20"
1228,"TRA2B"
1229,"SFXN1"
