gene,rank
IRF9,1454
ATP5MF,1455
UBA52,1456
XRN1,1457
MRPL1,1458
CD58,1459
CHMP2A,1460
DYNLT3,1461
ARHGAP45,1462
PDE4B,1463
SDF2,1464
LAT2,1465
FGFR1OP2,1466
EIF4E,1467
ARL2BP,1468
TMEM258,1469
SLC31A2,1470
PPP1R7,1471
POLR2F,1472
TUBB1,1473
NDUFS7,1474
CHIC2,1475
DNAJC19,1476
MGST3,1477
RBM22,1478
RNH1,1479
DYNLRB1,1480
MRPL22,1481
KIF2A,1482
DERL2,1483
TMEM208,1484
FNTA,1485
ZMAT2,1486
TTC1,1487
MRPS18C,1488
RER1,1489
SP140,1490
CEBPZ,1491
RTCB,1492
PFDN5,1493
SEPHS2,1494
CKS2,1495
BIN1,1496
NUCKS1,1497
ZRANB2,1498
SYPL1,1499
TERF1,1500
TINF2,1501
RAB27A,1502
LUC7L2,1503
PUF60,1504
AKAP9,1505
REXO2,1506
SLTM,1507
EPB41,1508
SNHG12,1509
PMPCB,1510
SRRM2,1511
NCBP2,1512
SMC3,1513
KTN1,1514
MRPL14,1515
ARHGAP15,1516
RNF166,1517
CD38,1518
GTF3C6,1519
SET,1520
TTC3,1521
PLEKHF1,1522
SKIL,1523
SFT2D1,1524
C12orf65,1525
USP15,1526
METTL5,1527
APLP2,1528
LLPH,1529
SNF8,1530
IMP4,1531
MRPS23,1532
GOLGA7,1533
SNX6,1534
ATP6V1B2,1535
YWHAZ,1536
CSNK2B,1537
PNRC2,1538
AUP1,1539
SF3A3,1540
NDUFS3,1541
HSD17B10,1542
NUDCD2,1543
TNFRSF25,1544
MRPS26,1545
TSSC4,1546
MOB4,1547
EXOSC8,1548
HSD17B11,1549
FKBP4,1550
KARS,1551
MPC2,1552
TMEM176B,1553
MATK,1554
CBX3,1555
CCDC28A,1556
MRPL47,1557
COX8A,1558
NDUFA9,1559
IL10RA,1560
POLR2J,1561
CNOT7,1562
COA6,1563
JMJD6,1564
TMEM173,1565
DENND2D,1566
MX2,1567
ARHGDIA,1568
IFNGR1,1569
SLAMF7,1570
NAPA,1571
ADAR,1572
RRP7A,1573
IL16,1574
HCST,1575
PPP1R12A,1576
RNF125,1577
TUBB4B,1578
COMMD3,1579
YPEL3,1580
GLOD4,1581
IER3IP1,1582
RBPJ,1583
CLTB,1584
LAGE3,1585
TRIM22,1586
APBB1IP,1587
XAF1,1588
MRPS34,1589
C5AR1,1590
RUBCNL,1591
NAP1L4,1592
C19orf24,1593
LAMP1,1594
VDAC1,1595
DNAJC2,1596
TFG,1597
ANP32A,1598
SPPL2A,1599
NDUFA13,1600
HIST1H4C,1601
CSNK1A1,1602
NIFK,1603
MT-ND6,1604
ATP2B1,1605
PLA2G16,1606
BHLHE40,1607
PPHLN1,1608
TMEM134,1609
DDX46,1610
APOBEC3H,1611
PIN1,1612
DDX39A,1613
ZEB2,1614
TMEM70,1615
SCNM1,1616
ILF3-DT,1617
SRSF1,1618
LYN,1619
SCP2,1620
ELOC,1621
STOML2,1622
LSM6,1623
TRIAP1,1624
CASP8,1625
APOL3,1626
RAD21,1627
FAM204A,1628
WBP11,1629
EWSR1,1630
GPR18,1631
FUNDC2,1632
ZNHIT1,1633
SAMD3,1634
UBE2V2,1635
FKBP8,1636
TMEM179B,1637
RCAN3,1638
ITGA4,1639
DCTN3,1640
MEA1,1641
IP6K2,1642
TXNDC12,1643
C1orf52,1644
MAPRE1,1645
LMAN1,1646
PQBP1,1647
DHPS,1648
JAGN1,1649
TMEM126B,1650
OTULINL,1651
BAG1,1652
STAT1,1653
STAT4,1654
ZNF24,1655
BNIP3L,1656
MRPL21,1657
CDC123,1658
POLR2E,1659
FIP1L1,1660
IDH3B,1661
SURF1,1662
MRPL55,1663
SHISA5,1664
GRPEL1,1665
DDIT3,1666
ILK,1667
AURKAIP1,1668
CNIH4,1669
PCID2,1670
TUT4,1671
NDUFS2,1672
HES4,1673
PSMC3,1674
ADI1,1675
LDLRAD4,1676
MRPL49,1677
PSMC6,1678
SMIM7,1679
AP3S1,1680
PITHD1,1681
LSM5,1682
NAXE,1683
PTPN7,1684
RDH14,1685
MTIF3,1686
KPNA2,1687
ATF5,1688
PSMD11,1689
PSMC1,1690
DEGS1,1691
UBE2F,1692
MESD,1693
