avg_log2fc,cluster,gene,p_adj,p_value,pct_1,pct_2
0.6328315471026589,2,MRPS30,0.000000011341757905940845,0.0000000003290037131620238,0.13157894736842105,0.053711614999817435
0.7361175953919538,2,C12orf57,0.000000011649431590526038,0.0000000003387570224333558,0.15298840321141838,0.07653266148172491
0.8231858911700691,2,PIM3,0.000000012295652054782363,0.00000000035842284695775106,0.23327386262265834,0.17285573447255997
0.6936051100872493,2,USP47,0.000000012486416483090225,0.0000000003648714663739838,0.1280107047279215,0.05042538430642275
0.5098737765270938,2,C19orf53,0.000000013469109689499165,0.00000000039454484124235023,0.31043710972346117,0.25314930441450323
0.7568095859449747,2,TNFAIP3,0.000000013734374498606708,0.00000000040329162231955706,0.15744870651204282,0.08314163654288531
0.6304962789556026,2,SNRPE,0.000000013960315375524869,0.00000000041091863245412696,0.19402319357716324,0.12217475444553985
0.6401045365555696,2,NOP56,0.00000001527549067424555,0.00000000045071657517326,0.14228367528991973,0.06492131303173038
0.6411876054612912,2,P2RY10,0.000000016308432908071705,0.0000000004823539345721883,0.17796610169491525,0.1035162668419323
0.640455756324465,2,SVIP,0.000000018919122048365156,0.0000000005609153141961087,0.1471900089206066,0.07087304195421185
0.6318119042662338,2,TBCC,0.00000002081304053079766,0.0000000006185461032259809,0.20785013380909903,0.13915361302807902
0.7585499893363699,2,ARRDC2,0.000000022993066384838548,0.0000000006849694145216745,0.12087421944692239,0.04396246394274656
0.5968855349393114,2,TNFAIP8,0.000000027716955682980223,0.000000000827665935787536,0.30017841213202495,0.2507394019060138
0.7362979912759453,2,STIP1,0.000000028094957321265297,0.0000000008409510865448055,0.15477252453166815,0.08211925366049586
0.7093812039062584,2,SAR1A,0.00000003019827741212431,0.0000000009060556749318494,0.1601248884924175,0.08894731076788258
0.6445402712481512,2,RNF7,0.00000003110414523264829,0.0000000009354463870181462,0.25111507582515613,0.19173330412239384
1.077511573341489,2,AC116407.2,0.00000003140925823151904,0.000000000946855704953009,0.11239964317573595,0.037024865812246684
0.7010604206913856,2,ZNF24,0.00000003516078009602134,0.0000000010637428715654096,0.1543264942016057,0.08175411691678533
0.7852177204573952,2,GOLT1B,0.00000003516078009602134,0.0000000010649479076363377,0.1400535236396075,0.06645488735531456
0.48059326547374903,2,SPOCK2,0.00000004036253970656243,0.0000000012253682513119202,0.23684210526315788,0.16369080220542592
0.5471802071156509,2,FAM162A,0.000000041490802213980805,0.0000000012625711587332944,0.16280107047279216,0.08821703728046153
0.6837646569848401,2,SRSF4,0.00000004737781401593323,0.0000000014450822760636584,0.17975022301516502,0.11030781027494797
0.5330327562723223,2,DDX18,0.000000051557341184452015,0.0000000015762287031151345,0.23148974130240857,0.16354474750794173
0.6366795181988965,2,COPS3,0.00000005177930798119893,0.0000000015875731840253593,0.1409455842997324,0.06685653777339613
0.3817690939315441,2,PSMA7,0.00000005177930798119893,0.0000000015903776073855624,0.5156110615521855,0.519297476905101
0.7606561398699092,2,MTMR6,0.000000053127699286338744,0.0000000016355701237813491,0.10704727921498662,0.03165735567970205
0.636208851875886,2,PITHD1,0.00000005335929170096025,0.000000001646493608120636,0.14272970561998216,0.06926644028188557
0.6106352365663948,2,NDUFS6,0.000000058079390186094315,0.0000000017962697995699273,0.2047279214986619,0.1382407711688027
0.6688504614703532,2,RNF125,0.00000006562562105868953,0.000000002034324264599263,0.12132024977698483,0.04644539379997809
0.6214402256613717,2,SRP19,0.00000007041522429976246,0.0000000021878032718802842,0.20829616413916147,0.14254938474458684
0.757372935630868,2,AP3M2,0.00000007312464849267205,0.0000000022771842189683866,0.10883140053523639,0.034176799211304634
0.78138318842051,2,JOSD1,0.00000007864706445192067,0.0000000024547501809024652,0.11016949152542373,0.03611202395297039
0.6803302450358398,2,GTF2B,0.00000008120512017615524,0.0000000025403663617140637,0.20071364852809992,0.13685325154270275
0.650800153548278,2,DNAJA2,0.00000008772001045421925,0.0000000027504105659659217,0.16190900981266726,0.09161280899696936
0.933426984088721,2,DNAJB4,0.00000009804601198799526,0.0000000030811473372693854,0.11016949152542373,0.03775513929966773
0.619416440580931,2,MRPL20,0.00000010186445903987237,0.0000000032083864454079958,0.2149866190900981,0.1508745025011867
0.6865851178768296,2,BANF1,0.00000010345893525521033,0.0000000032659628335096613,0.24710080285459413,0.18914083324204914
0.5142002375359777,2,CD6,0.00000011351330998761127,0.00000000359142715566918,0.17707404103479035,0.10369883521378756
0.5332845339769846,2,IK,0.00000011477061469361883,0.0000000036393668079170993,0.19179304192685104,0.12221126811991091
0.5921003138031479,2,MPLKIP,0.00000011859224171414188,0.0000000037689820153730125,0.19446922390722568,0.12816299704239237
0.8497337812040155,2,CHD2,0.00000014638814157391655,0.000000004662771946328803,0.11552185548617305,0.043305217804067625
0.6639372714025261,2,MARCH7,0.0000001816024333732819,0.000000005797333280099792,0.14228367528991973,0.07153028809289079
0.7104330501474575,2,RAB11A,0.00000018436078061216203,0.000000005898496358014427,0.20115967885816236,0.14046810530543688
0.7624688520340692,2,KLF3,0.0000001978923847209417,0.000000006345500569437945,0.13514719000892061,0.06524993610106986
0.6449642661231486,2,COPS5,0.00000022835156355540912,0.000000007338422092217911,0.16369313113291703,0.09625004564209297
0.6526593510064259,2,CEBPZ,0.0000002304166838369406,0.000000007421170122867693,0.13425512934879572,0.06305911563880673
0.47519385044851425,2,SNRPN,0.00000023579428455288334,0.00000000761113438940697,0.19714540588760035,0.1269215321137766
0.5637334246920551,2,NIFK,0.0000002667110485872131,0.00000000862805027423974,0.14585191793041927,0.0753277102274802
0.47316549731461843,2,C1QBP,0.0000002688131084783582,0.000000008715163701822348,0.2591436217662801,0.19618797239566219
0.6725799906741492,2,PHF1,0.00000028503046404758885,0.000000009261210243138862,0.10838537020517396,0.036659729068536165
0.7321641364459779,2,YY1,0.00000029031311228847483,0.000000009453494875799606,0.15700267618198038,0.09011574834775624
0.6297290066593342,2,ARL6IP5,0.0000003120984719609296,0.00000001018508344330371,0.31489741302408564,0.27312228429546864
0.5652665313184984,2,SLC38A1,0.00000031349752267580916,0.00000001025302953649998,0.14986619090098127,0.07868696826961698
0.7382314133038561,2,HSPA4,0.0000003176853352471969,0.000000010412580131458071,0.1159678858162355,0.045715120312557055
0.5745400640344294,2,CDC26,0.00000032249333247869483,0.000000010593097732325418,0.24219446922390722,0.1846131376200387
0.7945251126502924,2,TMEM70,0.00000037300310550373166,0.000000012278737138160523,0.14451382694023193,0.07708036659729069
0.6001636691929407,2,NCBP2,0.00000040122048586277437,0.000000013236139739802866,0.1480820695807315,0.0791251323620696
0.6348002722381414,2,RAMMET,0.00000040347193205086054,0.000000013339100490838973,0.18376449598572703,0.12064118012195567
0.6145999771966537,2,SNRPD3,0.0000004135259964736203,0.00000001370089686147935,0.18911685994647637,0.1250228210464819
0.5356705553523927,2,PRPF40A,0.00000044735199379743866,0.000000014853422047877984,0.20606601248884923,0.14302406251141053
0.698284032970591,2,VPS37B,0.000000498509744296404,0.000000016587455409222684,0.12087421944692239,0.05090006207324643
0.5577966618787331,2,PSMD7,0.000000526757682684877,0.000000017564831367167244,0.24531668153434433,0.1900901887756965
0.5827545816743178,2,SNRPC,0.0000005277081133701162,0.00000001763404289256698,0.19714540588760035,0.1324716106181765
0.5627518629706824,2,RORA,0.000000586753341240759,0.00000001964883211691415,0.14228367528991973,0.07244312995216709
0.48827068724917067,2,XRCC6,0.000000636907598944397,0.000000021373649961020647,0.29482604817127567,0.24131887391828238
0.5757275635854886,2,DUSP11,0.0000006545173163893761,0.00000002201114046584962,0.16190900981266726,0.0951546354109614
0.5678578028842182,2,PRRC2C,0.0000007017034859170094,0.00000002364788143083274,0.20115967885816236,0.13948223609741847
0.6291364490198982,2,TRIAP1,0.0000007375447390647445,0.000000024908194173889342,0.1239964317573595,0.05517216197465951
0.7230532840665083,2,SIKE1,0.0000007587912452615174,0.000000025679675275114278,0.1128456735057984,0.04396246394274656
0.6498822668859766,2,BRD2,0.0000008016298942770419,0.00000002718645286670096,0.13782337198929528,0.07072698725672764
0.6277059206012175,2,NDUFB6,0.0000008418252751556592,0.000000028609490332343057,0.1534344335414808,0.08715814072370102
0.4119080771352972,2,COX6A1,0.000000854033575990543,0.000000029085110764270894,0.47368421052631576,0.47803702486581223
0.5900083924738617,2,MPHOSPH8,0.0000008931326748914022,0.00000003048017660489677,0.19803746654772525,0.135611786614087
0.4533320081329828,2,SEC62,0.0000009865543830654437,0.00000003373854662314102,0.33318465655664586,0.29203636761967355
0.6329525870348127,2,DHX36,0.0000010066352287184348,0.000000034496848932974444,0.15209634255129348,0.08609924416694052
0.568233844315045,2,NDUFAB1,0.0000010604398711663388,0.00000003641610080151736,0.22212310437109722,0.16442107569284697
0.47566910450344113,2,GADD45GIP1,0.0000010749384724626334,0.000000036990417395799113,0.2689562890276539,0.21630700697411182
0.679747382918153,2,FIP1L1,0.0000011034291635958482,0.00000003804928150330511,0.13737734165923282,0.07043487786175923
0.6746078239014566,2,BTG2,0.0000011481282565322506,0.000000039672259699585766,0.2096342551293488,0.15244459049914194
0.6933324150562703,2,TOPORS,0.000001317213528666224,0.00000004560845989765028,0.10303300624442462,0.03476101800124146
